userId,movieId,rating
261984,4643,2.0
121619,70,3.0
278311,69122,4.0
318483,606,3.0
295063,19,3.0
189329,454,2.0
280553,1259,3.0
277802,4239,4.0
258158,292,4.0
192272,2302,4.0
81754,4995,2.5
216036,780,1.0
17193,3361,2.0
61523,95105,2.5
224540,69122,4.0
329492,63113,4.0
248901,69122,3.0
285780,1831,2.5
51346,44191,4.5
253061,2012,2.0
85361,70,5.0
167189,780,1.0
30064,4995,3.0
286531,4995,5.0
689,1256,3.5
39475,50068,4.0
64574,109376,4.0
21341,1615,5.0
133650,3114,4.0
133790,2012,2.0
313040,69122,3.0
158082,3979,2.5
60503,4995,4.0
164967,3081,4.0
136653,4995,3.0
269054,44191,4.5
206435,454,4.0
276305,83613,4.0
30718,333,3.0
140928,7008,1.0
159387,77561,4.0
148726,4643,3.0
222141,44191,2.0
202019,333,5.0
270287,173,2.0
275473,292,3.0
204711,4995,2.5
45453,1259,4.0
24816,2302,4.0
240979,5816,4.0
79558,3361,3.5
188485,63113,3.5
125042,185,2.0
252773,2000,4.0
231292,19,2.5
242479,1831,2.5
119268,19,4.0
315418,44191,3.0
264849,3361,1.5
186191,454,3.0
170396,4643,4.0
116592,3979,2.5
253937,44191,4.0
11811,41997,3.5
37538,6166,2.0
262885,292,3.0
127375,2973,3.0
23281,2000,4.0
179119,2000,4.0
281375,2012,2.0
205876,454,2.0
118217,4995,3.0
288891,454,3.0
241027,69122,3.0
322101,1594,3.0
48548,69,4.0
139181,688,1.0
97674,2005,4.0
89266,27306,4.5
214234,185,3.0
106161,1282,5.0
193790,185,3.0
241852,86,3.0
34526,185,3.0
267944,236,1.0
30888,780,3.0
52775,212461,3.5
127486,19,5.0
328190,69122,2.0
240838,44191,4.0
122117,3114,4.5
80030,55118,4.0
12734,5816,2.0
274332,155,3.0
304826,81456,5.0
246145,19,3.0
271503,185,4.0
217658,3114,4.0
52142,3114,3.0
33829,2302,3.0
205807,48142,3.0
226324,333,3.0
223282,173,3.5
107180,1259,3.0
104156,4995,3.5
76822,4546,5.0
38092,70,3.0
30956,1251,4.0
121976,2005,3.5
49342,2000,4.0
57260,780,3.5
9861,459,4.0
276099,2096,1.5
323074,4593,3.0
269161,55118,4.5
62062,4995,3.0
197544,1283,4.5
164320,2012,2.0
52465,292,3.0
265937,2012,3.0
156489,2417,4.5
294382,107406,2.5
246096,41997,4.0
172354,292,5.0
9240,292,3.0
158153,4239,3.0
257739,2565,4.0
285858,77561,4.0
22760,1731,2.5
215913,62511,3.0
155934,5816,3.5
59035,4995,4.0
205516,3072,3.0
129583,1918,3.0
330609,70,3.0
90940,179819,2.5
322869,1259,4.0
260217,292,4.0
25907,185,3.5
229781,4643,4.0
328790,688,3.0
205928,4643,3.0
171533,185,4.0
295666,64614,4.0
59647,5816,3.0
203916,44191,2.5
181001,4643,2.5
5283,780,3.5
198397,185,3.0
269866,107406,1.5
287549,3072,1.5
63764,44191,3.0
237930,44191,4.5
313700,5816,4.0
304408,63113,4.0
120829,2005,4.0
86729,74510,3.0
205537,454,4.0
323954,1259,5.0
132972,780,3.0
122042,4239,1.0
41257,1422,3.5
56034,85540,2.0
302445,63113,2.5
132450,1831,4.0
7373,1831,4.0
257932,71057,3.0
126677,780,3.0
82004,107406,3.5
226707,1282,3.5
103439,4239,3.5
301398,55118,0.5
306500,44191,4.0
223459,33988,4.5
308862,780,4.0
203525,33603,2.5
83489,2302,3.0
36847,69122,1.0
41380,5816,3.5
198929,8914,3.5
303005,189333,4.0
164923,2302,4.0
133523,44633,2.0
318305,236,3.0
316039,63113,0.5
77717,69122,4.0
18953,2096,4.0
131376,4723,2.0
163580,3072,2.0
172369,44191,4.5
223198,3072,3.5
252725,1918,5.0
26181,454,4.0
224365,19,4.0
105949,927,3.0
110920,2005,3.0
173550,1831,3.0
69730,69122,5.0
194606,1845,5.0
14977,2565,4.0
212931,70,3.0
72956,3114,5.0
10146,4995,3.0
268438,1259,4.0
18182,2012,2.5
7403,69122,2.0
274030,4995,4.0
53670,1282,3.5
295384,173,4.0
248848,1918,2.0
108692,41997,2.0
150363,780,4.0
307315,144982,0.5
236139,43376,5.0
256905,5816,3.5
253990,292,3.0
317829,69,3.5
81021,44191,5.0
66456,3546,4.0
273534,2179,2.0
31984,4822,4.0
304734,2000,5.0
70893,780,5.0
321415,2096,5.0
130476,780,3.0
113764,3100,2.5
224010,5816,4.5
13245,64614,4.0
179170,69122,5.0
304152,1259,3.5
16980,4297,5.0
321313,1283,5.0
281694,2096,4.0
314492,3979,1.0
210597,3114,3.0
329464,3072,2.5
101657,4995,4.5
119394,3081,3.0
98375,185,4.0
138167,2065,3.0
226476,33603,3.0
282562,68659,3.0
319106,8785,4.5
307999,77561,3.5
119963,4239,4.0
69850,63113,3.5
26833,3114,3.5
208648,454,4.0
265969,63113,2.5
209890,77561,4.0
198239,8914,3.0
232649,69122,4.0
166377,63113,2.0
233833,292,3.0
240746,292,3.0
102100,4995,3.0
59568,2417,3.0
217338,780,4.0
156282,1282,3.0
309241,1283,4.5
298333,3114,3.5
116776,44191,4.5
239453,69122,3.5
158560,44191,4.5
135972,292,4.0
272881,4643,2.0
34676,3072,4.0
220849,5816,4.0
252195,107406,5.0
109114,3688,4.0
237906,2973,4.0
290745,2000,4.0
96496,4995,3.5
57983,41997,5.0
69290,5816,5.0
103483,1694,3.0
198115,68941,2.0
99472,44191,3.5
227270,1831,4.0
293134,3100,2.0
230906,107406,3.5
171040,3114,3.5
28846,134170,4.0
185402,1831,2.0
284235,3114,3.0
323643,69122,1.5
239549,130980,4.0
180459,3114,5.0
77319,3114,3.5
103371,44191,4.0
329698,4995,4.5
60849,69122,3.5
197173,173,4.0
34839,1282,4.5
239961,70,5.0
181897,70,3.5
142450,2302,0.5
87387,44191,4.0
139313,1918,4.0
102679,4995,5.0
173950,2005,2.0
250576,185,3.0
226710,8866,2.0
218031,2989,4.0
34709,2012,2.0
180368,3072,3.0
183632,2973,4.0
237087,2000,3.5
299095,27815,3.5
308885,86,4.0
322190,1361,4.0
50437,50068,4.0
96594,292,3.0
260374,780,4.0
167652,77561,2.5
329503,3081,3.0
67150,7008,5.0
128404,2065,5.0
79649,2973,4.5
293664,185,3.0
245697,6213,4.0
294750,780,4.0
233409,780,1.0
172960,185,4.0
74600,3072,2.0
174808,108200,2.5
157398,780,3.0
115711,173,1.5
839,4995,5.0
242312,2295,2.0
237357,5816,3.5
61249,63113,4.5
173074,236,3.0
161126,3072,5.0
304786,44191,4.5
231183,2012,3.5
301859,1282,3.5
140327,333,4.5
298600,44191,3.0
81940,4945,4.0
163159,6213,3.0
90685,1918,4.0
251284,137857,4.5
186350,2012,4.0
5612,44633,4.0
112706,44191,4.0
327947,2989,3.0
191964,1831,2.0
325568,859,3.0
151447,5816,4.0
22345,454,3.0
227548,59040,3.5
124659,5062,4.0
189223,780,4.0
15370,2096,5.0
222573,1251,5.0
319553,30949,4.0
144798,4995,4.5
310034,453,2.0
261253,236,3.0
265619,69122,4.0
90270,2005,4.0
6823,3125,4.0
73118,50068,3.5
304158,3072,3.0
97807,2000,4.0
206332,63113,3.5
167630,1259,4.0
70218,3114,4.0
154224,2565,4.0
194392,292,4.0
272422,4239,2.0
110646,236,4.0
137530,780,3.5
